Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
P,pressure (Q39552),-,2,4,-,-,-,-,global,26811,-1
V,volume (Q39297),4,2,2,-,-,-,-,global,5809,-1
T,temperature (Q11466),1,3,4,-,-,6,-,global,2809,-1
R,universal gas constant (Q182333),-,9,-,-,-,-,-,global,8401,-1
rho,density (Q29539),1,1,-,-,-,-,-,global,3428,-1
k,constant (Q188248),2,-,-,-,-,-,-,global,12733,-1
n,amount of substance (Q104946),-,-,1,-,-,-,-,global,20626,-1
