Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
m,mass (Q11423),1,3,2,-,-,-,-,global,11280,-1
c,speed of light (Q2111),-,1,2,-,-,-,-,global,1340,-1
p,momentum (Q41273),5,-,-,-,-,-,-,global,5144,-1
t,time (Q11471),1,3,4,-,-,-,-,global,1680,-1
x,coordinate (Q12753000),5,-,-,-,-,-,-,global,9170,-1
L,Lagrangian (N/A),-,-,-,-,-,-,-,global,3555,6461
\hbar ,reduce Planck constant (N/A),-,-,-,-,-,-,-,global,5816,1534
gamma,gamma matrices (N/A),-,-,-,-,-,-,-,global,3893,6407
A,gauge field (N/A),-,-,-,-,-,-,-,global,5939,690
